FIPS,County,Basin,Production,Cumulative Production,Production Magnitude,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48107,Crosby,Permian,Peak,"22,769,379",Large,776640,743440,748898,833463,898164,840842,770636,803404,755699,687346,599356,555809,540496,543860,516913,560738,611395,744818,837709,837709,1102030,1566717,1555596,1245329,1165290,1003845,923237
48109,Culberson,Permian,Peak,"11,584,833",Large,343206,358281,276352,225998,183117,154789,110863,100136,127044,115030,124124,130451,118293,110974,100919,96139,92879,307244,709337,709337,765343,910906,832018,1587717,934467,1138099,921770
48111,Dallam,None,None,116,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,36,0,0,0
48113,Dallas,Barnett,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48115,Dawson,Permian,ERROR,"131,745,927",Large,5939992,6092799,6456835,6884954,6873341,6622064,6120705,6021827,6029131,5594973,5262296,4880375,4566699,4352034,4439336,4217134,3923608,3712837,3854751,3854751,4174390,4142332,3762735,3474498,3582369,3635552,3273609
48117,Deaf Smith,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48119,Delta,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48121,Denton,Barnett,Scatter,"754,185",Large,13422,15405,17865,13294,10930,11075,5183,11315,10298,12302,13409,36138,30124,21555,46278,81173,83892,42304,30705,30705,36466,52244,37684,29229,20785,19033,21372
48123,DeWitt,Eagle Ford,Peak,"382,095,094",Large,324603,268292,223484,218247,195216,135557,116188,120154,102717,87477,76450,86813,63625,63052,58445,103567,160995,4954696,16520868,16520868,31220304,48774547,71956342,56133598,45178559,46661707,41768723
48125,Dickens,Permian,Decline,"23,479,501",Large,420860,502955,534203,520143,831216,869382,719093,724671,883971,1375918,1607379,1660849,1539554,1372910,1340338,1286611,1111893,860696,782786,782786,679240,649842,542492,470771,491175,485733,432034
48127,Dimmit,Eagle Ford,Growth,"276,995,304",Large,1691870,1316775,1099739,1152996,967160,907442,706422,611246,623832,539954,723309,659104,968100,1321332,1090798,935954,808082,4487962,11835820,11835820,24000865,32080448,37274080,29148743,31719426,38151436,40336589
48129,Donley,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48131,Duval,None,Decline,"33,558,229",Large,2399700,2136761,1933953,1883308,1705050,1489677,1265197,1365235,1353543,1233905,1131160,1052906,1084961,1036770,1007562,988588,933611,844690,878988,878988,1045819,1077264,1033650,1017227,924492,972464,882760
48133,Eastland,None,ERROR,"8,396,914",Large,688176,633601,562421,494830,445978,378207,359654,339436,310298,288201,276014,272628,278746,296314,269399,275813,257068,214521,240561,240561,222044,209120,198616,169043,169820,159388,146456
48135,Ector,Permian,Peak,"636,013,012",Large,31825327,29656969,27444430,26803579,26698312,25291226,22821279,21922647,21760116,19529584,20404572,20089513,19194897,18338379,17908836,19923640,20335290,23876512,25970291,25970291,28962088,30587217,26694058,22718276,21012667,20261525,20011491
48137,Edwards,Permian,Scatter,"115,618",Large,1927,1476,5334,2674,4526,7565,6627,5245,4314,2408,1843,2303,2092,2716,2164,2770,4095,22205,7644,7644,2424,1525,4470,2588,3925,1445,1669
48141,El Paso ,None,None,"33,801",Small,0,5475,4091,5378,3716,2717,2338,2461,2329,147,201,158,15,119,12,268,1056,519,536,536,392,424,461,286,157,9,0
48139,Ellis,Barnett,Decline,"5,660",Small,5660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48143,Erath,Barnett,Scatter,"71,514",Small,7684,5216,5631,164,6281,3477,340,52,782,1826,1659,2816,2655,3739,3793,5606,6005,2343,1974,1974,1519,965,176,267,1311,1992,1267
48145,Falls,None,Decline,"127,101",Large,12131,11305,8800,7611,6792,5193,4310,3525,5016,2999,5511,4326,1929,2503,1541,3162,2569,7381,6339,6339,5650,3225,2567,1859,2087,1007,1424
48147,Fannin,None,None,100,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
48149,Fayette,Eagle Ford,Decline,"81,345,052",Large,12597277,8746444,6369669,4794619,4016036,3239892,2424795,2305038,2293198,2093192,2147611,1835623,1438669,1377544,1262112,1085570,946846,1289541,1845188,1845188,2853016,3905887,3336274,2059818,1900116,1619114,1716775
48151,Fisher,None,Growth,"26,571,408",Large,1686373,1529132,1483052,1342423,1289414,1147226,1055776,1068730,951703,845835,736722,637694,568758,583865,592642,805149,776972,811984,825222,825222,931418,1059538,1005600,845078,843265,984548,1338067
48153,Floyd,Permian,Decline,"39,522",Small,3486,2319,2328,1997,2063,1966,1815,1579,1693,1431,1646,1606,1628,1720,1182,1550,1885,1588,1576,1576,885,897,754,352,0,0,0
48155,Foard,None,Decline,"3,991,307",Large,295091,321656,273326,220323,203236,292370,188331,197011,168712,142830,143307,136525,107552,95615,89381,103648,99886,101710,120735,120735,109544,98293,75766,52704,68347,90339,74334
48157,Fort Bend,None,Decline,"49,069,092",Large,2951550,2608979,2655351,2884528,3040228,2425418,2064862,1939431,1839687,1653655,1692332,2069297,1817960,1842098,1647187,1656577,1540434,1659751,1622586,1622586,1620241,1595309,1286356,936018,842466,808372,745833
48159,Franklin,None,ERROR,"12,496,393",Large,833699,593269,536552,571875,555767,450540,397336,401220,400447,400814,405765,412200,387828,338608,307624,343073,342624,266908,476599,476599,653075,569584,595321,515457,457846,407705,398058
48161,Freestone,None,Decline,"2,216,172",Large,238041,209187,170022,146800,122437,107188,95058,85993,73590,74419,79077,77157,70876,62774,68527,64248,52709,60531,65046,65046,46124,41844,35476,27696,22398,29706,24202
