FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
48305,Lynn,2012,604625,222959,0,0,1656.506849,0.604625,1.656506849,0,1.656506849,0,0,3837105,0
48307,Mcculloch,2012,48838,0,48,0,133.8027397,0.048838,0.13380274,0,0.13380274,0,0,1116780,4.80E-05
48309,Mclennan,2012,1370,0,0,0,3.753424658,0.00137,0.003753425,0,0.003753425,0,0,19064,0
48311,Mcmullen,2012,13221027,18066239,65787529,2665928,36221.99178,13.221027,36.22199178,0,36.22199178,0,0,41630270,65.787529
48313,Madison,2012,3074624,4134917,4957142,342173,8423.627397,3.074624,8.423627397,0,8.423627397,0,0,12546529,4.957142
48315,Marion,2012,112709,143311,2644166,52351,308.7917808,0.112709,0.308791781,0,0.308791781,0,0,1613354,2.644166
48317,Martin,2012,23114653,40232938,18723,595,63327.81644,23.114653,63.32781644,0,63.32781644,0,0,124661124,0.018723
48319,Mason,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48321,Matagorda,2012,332547,492683,22258352,446816,911.0876712,0.332547,0.911087671,0,0.911087671,0,0,7443702,22.258352
48323,Maverick,2012,898995,308265,3072370,169039,2463,0.898995,2.463,0,2.463,0,0,15962967,3.07237
48325,Medina,2012,129318,2055,62007,0,354.2958904,0.129318,0.35429589,0,0.35429589,0,0,1234188,0.062007
48327,Menard,2012,231338,33516,96434,141,633.8027397,0.231338,0.63380274,0,0.63380274,0,0,1961564,0.096434
48329,Midland,2012,22730145,57264934,8264182,200960,62274.36986,22.730145,62.27436986,0,62.27436986,0,0,174211391,8.264182
48331,Milam,2012,664682,360295,99687,1206,1821.046575,0.664682,1.821046575,0,1.821046575,0,0,7584483,0.099687
48333,Mills,2012,0,0,3278,0,0,0,0,0,0,0,0,0,0.003278
48335,Mitchell,2012,4167277,323237,0,0,11417.19726,4.167277,11.41719726,0,11.41719726,0,0,44138729,0
48337,Montague,2012,1909240,4100707,70856058,3687630,5230.794521,1.90924,5.230794521,0,5.230794521,0,0,20431065,70.856058
48339,Montgomery,2012,1005322,1821585,4893412,50791,2754.306849,1.005322,2.754306849,0,2.754306849,0,0,12250540,4.893412
48341,Moore,2012,300768,1998222,29846014,3275,824.0219178,0.300768,0.824021918,0,0.824021918,0,0,3737497,29.846014
48343,Morris,2012,1385,0,0,0,3.794520548,0.001385,0.003794521,0,0.003794521,1,1,16121,0
48345,Motley,2012,23390,0,0,0,64.08219178,0.02339,0.064082192,0,0.064082192,0,0,542264,0
48347,Nacogdoches,2012,4730,104557,189636135,181927,12.95890411,0.00473,0.012958904,0,0.012958904,0,0,77724,189.636135
48349,Navarro,2012,331084,491126,808999,33133,907.0794521,0.331084,0.907079452,0,0.907079452,0,0,4311276,0.808999
48351,Newton,2012,504574,1172783,8617008,584220,1382.394521,0.504574,1.382394521,0,1.382394521,0,0,8508717,8.617008
48353,Nolan,2012,1714709,2160205,464155,3254,4697.832877,1.714709,4.697832877,0,4.697832877,0,0,19364385,0.464155
48355,Nueces,2012,433261,921729,24460704,665120,1187.016438,0.433261,1.187016438,0,1.187016438,0,0,6968305,24.460704
48357,Ochiltree,2012,5767924,26740398,16405894,335462,15802.53151,5.767924,15.80253151,0,15.80253151,0,0,26855781,16.405894
