FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48425,Somervell,1993.00,0.00,0.00,23543.00,0.00
48427,Starr,1993.00,647137.00,1362584.00,96215915.00,945840.00
48429,Stephens,1993.00,4812176.00,3254250.00,7437998.00,29103.00
48431,Sterling,1993.00,2570110.00,39399578.00,16032502.00,88386.00
48433,Stonewall,1993.00,3607375.00,1072693.00,0.00,0.00
48435,Sutton,1993.00,29316.00,46207.00,66175712.00,184464.00
48437,Swisher,9999.00,9999.00,9999.00,9999.00,9999.00
48439,Tarrant,1993.00,0.00,0.00,137924.00,36.00
48441,Taylor,1993.00,997794.00,629732.00,170795.00,615.00
48443,Terrell,1993.00,34812.00,402855.00,41831500.00,38128.00
48445,Terry,1993.00,6096972.00,3326943.00,17822.00,0.00
48447,Throckmorton,1993.00,1735601.00,2130535.00,628559.00,7387.00
48449,Titus,1993.00,1028720.00,6955.00,572733.00,25337.00
48451,Tom Green,1993.00,1824931.00,9322467.00,1662958.00,12995.00
48453,Travis,1993.00,3722.00,63.00,0.00,0.00
48455,Trinity,1993.00,57640.00,1038412.00,263786.00,1562.00
48457,Tyler,1993.00,501538.00,1551269.00,3551522.00,178363.00
48459,Upshur,1993.00,205352.00,93361.00,45086830.00,541828.00
48461,Upton,1993.00,12329594.00,37621493.00,11378805.00,219163.00
48463,Uvalde,1993.00,0.00,0.00,0.00,0.00
48465,Val Verde,1993.00,227.00,12.00,7238307.00,170.00
48467,Van Zandt,1993.00,2182888.00,2155448.00,15797269.00,132007.00
48469,Victoria,1993.00,1360993.00,1540081.00,16943579.00,107538.00
48471,Walker,1993.00,5522.00,34379.00,1111925.00,4251.00
48473,Waller,1993.00,67256.00,16424.00,17382530.00,3374.00
48475,Ward,1993.00,6590464.00,14657975.00,57981134.00,192809.00
48477,Washington,1993.00,1248193.00,6186201.00,4666171.00,264678.00
48479,Webb,1993.00,344778.00,155752.00,380878451.00,2917378.00
48481,Wharton,1993.00,2113586.00,1275610.00,58336563.00,853402.00
48483,Wheeler,1993.00,666242.00,1547900.00,41755495.00,223217.00
48485,Wichita,1993.00,3500034.00,145419.00,0.00,0.00
48487,Wilbarger,1993.00,921925.00,204192.00,8172.00,26.00
48489,Willacy,1993.00,852367.00,715947.00,10095902.00,31077.00
48491,Williamson,1993.00,12955.00,172.00,0.00,0.00
48493,Wilson,1993.00,1396580.00,178693.00,124369.00,5946.00
48495,Winkler,1993.00,4763791.00,16580111.00,44969847.00,99941.00
48497,Wise,1993.00,920933.00,10835633.00,61273234.00,206337.00
48499,Wood,1993.00,9455517.00,24000298.00,15936855.00,116262.00
48501,Yoakum,1993.00,31642311.00,102831384.00,0.00,0.00
48503,Young,1993.00,2466857.00,3389187.00,2738501.00,24355.00
48505,Zapata,1993.00,78163.00,102980.00,290116988.00,260500.00
48507,Zavala,1993.00,2721905.00,3315685.00,5108412.00,1929.00
